County,State,Cases - last 7 days per 100k,% total pop fully vaccinated,Vaccination county reporting completeness,Data as of date
Autauga County,AL,152.14,26.3,91.8,2021-07-30
Baldwin County,AL,453.34,31.6,91.8,2021-07-30
Barbour County,AL,162.04,27.8,91.8,2021-07-30
Bibb County,AL,281.33,22.7,91.8,2021-07-30
Blount County,AL,181.58,19.4,91.8,2021-07-30
Bullock County,AL,suppressed,34.5,91.8,2021-07-30
Butler County,AL,185.11,26.7,91.8,2021-07-30
Calhoun County,AL,177.81,30.7,91.8,2021-07-30
Chambers County,AL,207.49,21.1,91.8,2021-07-30
Cherokee County,AL,137.43,22.6,91.8,2021-07-30
Chilton County,AL,144.05,22.1,91.8,2021-07-30
Choctaw County,AL,suppressed,41.3,91.8,2021-07-30
Clarke County,AL,220.13,31.4,91.8,2021-07-30
Clay County,AL,128.45,27.7,91.8,2021-07-30
Cleburne County,AL,120.72,21.2,91.8,2021-07-30
Coffee County,AL,311.41,24.8,91.8,2021-07-30
Colbert County,AL,157.49,34.1,91.8,2021-07-30
Conecuh County,AL,140.88,27.9,91.8,2021-07-30
Coosa County,AL,140.67,29.1,91.8,2021-07-30
Covington County,AL,321.20,23.6,91.8,2021-07-30
Crenshaw County,AL,145.22,24,91.8,2021-07-30
Cullman County,AL,180.26,26.3,91.8,2021-07-30
Dale County,AL,402.67,35.9,91.8,2021-07-30
Dallas County,AL,102.16,28,91.8,2021-07-30
DeKalb County,AL,190.18,21.2,91.8,2021-07-30
Elmore County,AL,181.01,29.3,91.8,2021-07-30
Escambia County,AL,316.65,22.3,91.8,2021-07-30
Etowah County,AL,188.72,27.1,91.8,2021-07-30
Fayette County,AL,67.48,24.1,91.8,2021-07-30
Franklin County,AL,280.59,29.2,91.8,2021-07-30
Geneva County,AL,277.87,25.8,91.8,2021-07-30
Greene County,AL,271.24,33.5,91.8,2021-07-30
Hale County,AL,102.38,41.8,91.8,2021-07-30
Henry County,AL,290.61,30.5,91.8,2021-07-30
Houston County,AL,380.61,28.7,91.8,2021-07-30
Jackson County,AL,166.58,32.1,91.8,2021-07-30
Jefferson County,AL,175.99,40.2,91.8,2021-07-30
Lamar County,AL,suppressed,30,91.8,2021-07-30
Lauderdale County,AL,177.94,33.6,91.8,2021-07-30
Lawrence County,AL,127.57,32.4,91.8,2021-07-30
Lee County,AL,137.96,28.9,91.8,2021-07-30
Limestone County,AL,137.49,25.5,91.8,2021-07-30
Lowndes County,AL,suppressed,32.3,91.8,2021-07-30
Macon County,AL,83.02,32.5,91.8,2021-07-30
Madison County,AL,118.80,43.7,91.8,2021-07-30
Marengo County,AL,127.23,35.5,91.8,2021-07-30
Marion County,AL,188.50,24.7,91.8,2021-07-30
Marshall County,AL,188.07,28.8,91.8,2021-07-30
Mobile County,AL,467.80,31.3,91.8,2021-07-30
Monroe County,AL,303.86,27.1,91.8,2021-07-30
Montgomery County,AL,122.74,35.6,91.8,2021-07-30
Morgan County,AL,94.42,30.7,91.8,2021-07-30
Perry County,AL,suppressed,32.7,91.8,2021-07-30
Pickens County,AL,50.18,31.8,91.8,2021-07-30
Pike County,AL,126.83,27.5,91.8,2021-07-30
Randolph County,AL,149.63,23.4,91.8,2021-07-30
Russell County,AL,103.52,25.6,91.8,2021-07-30
St. Clair County,AL,165.34,25.8,91.8,2021-07-30
Shelby County,AL,189.25,24.2,91.8,2021-07-30
Sumter County,AL,96.56,33,91.8,2021-07-30
Talladega County,AL,162.54,24.9,91.8,2021-07-30
Tallapoosa County,AL,193.23,28,91.8,2021-07-30
Tuscaloosa County,AL,118.46,30.5,91.8,2021-07-30
Walker County,AL,181.04,31.9,91.8,2021-07-30
Washington County,AL,306.26,26.8,91.8,2021-07-30
Wilcox County,AL,163.89,34.5,91.8,2021-07-30
Winston County,AL,207.37,14.7,91.8,2021-07-30
Aleutians East Borough,AK,suppressed,66.2,96.9,2021-07-30
Aleutians West Census Area,AK,727.72,51.5,96.9,2021-07-30
Anchorage Municipality,AK,228.47,47.3,96.9,2021-07-30
Bethel Census Area,AK,288.26,51.7,96.9,2021-07-30
Bristol Bay Borough,AK,0.00,87.2,96.9,2021-07-30
Denali Borough,AK,suppressed,42.6,96.9,2021-07-30
Dillingham Census Area,AK,suppressed,39.6,96.9,2021-07-30
Fairbanks North Star Borough,AK,102.22,41.4,96.9,2021-07-30
Haines Borough,AK,0.00,59.1,96.9,2021-07-30
Hoonah-Angoon Census Area,AK,suppressed,61.5,96.9,2021-07-30
Juneau City and Borough,AK,290.86,61.5,96.9,2021-07-30
Kenai Peninsula Borough,AK,356.00,37.2,96.9,2021-07-30
Ketchikan Gateway Borough,AK,201.42,52.9,96.9,2021-07-30
Kodiak Island Borough,AK,323.13,50.7,96.9,2021-07-30
Kusilvak Census Area,AK,252.59,53.4,96.9,2021-07-30
Lake and Peninsula Borough,AK,suppressed,48.6,96.9,2021-07-30
Matanuska-Susitna Borough,AK,125.56,28.5,96.9,2021-07-30
Nome Census Area,AK,suppressed,57.9,96.9,2021-07-30
North Slope Borough,AK,111.88,29.6,96.9,2021-07-30
Northwest Arctic Borough,AK,suppressed,44.3,96.9,2021-07-30
Petersburg Census Area,AK,0.00,62.6,96.9,2021-07-30
Prince of Wales-Hyder Census Area,AK,354.67,45.1,96.9,2021-07-30
Sitka City and Borough,AK,2072.29,63.3,96.9,2021-07-30
Skagway Municipality,AK,suppressed,62.8,96.9,2021-07-30
Southeast Fairbanks Census Area,AK,217.61,23.7,96.9,2021-07-30
Wrangell City and Borough,AK,suppressed,49,96.9,2021-07-30
Yakutat City and Borough,AK,0.00,65.3,96.9,2021-07-30
Yukon-Koyukuk Census Area,AK,suppressed,56.6,96.9,2021-07-30
Apache County,AZ,102.94,60.2,97.5,2021-07-30
Cochise County,AZ,38.91,47.1,97.5,2021-07-30
Coconino County,AZ,120.58,57,97.5,2021-07-30
Gila County,AZ,157.35,45.8,97.5,2021-07-30
Graham County,AZ,102.99,45,97.5,2021-07-30
Greenlee County,AZ,115.81,31.5,97.5,2021-07-30
La Paz County,AZ,175.29,37.1,97.5,2021-07-30
Maricopa County,AZ,169.66,42.2,97.5,2021-07-30
Mohave County,AZ,231.88,31,97.5,2021-07-30
Navajo County,AZ,154.16,49.9,97.5,2021-07-30
Pima County,AZ,74.29,52.6,97.5,2021-07-30
Pinal County,AZ,210.46,38.5,97.5,2021-07-30
Santa Cruz County,AZ,88.18,77.8,97.5,2021-07-30
Yavapai County,AZ,168.01,35.8,97.5,2021-07-30
Yuma County,AZ,50.05,49.2,97.5,2021-07-30
Arkansas County,AR,703.42,37.1,89.3,2021-07-30
Ashley County,AR,274.71,33,89.3,2021-07-30
Baxter County,AR,651.05,33.9,89.3,2021-07-30
Benton County,AR,353.94,36,89.3,2021-07-30
Boone County,AR,566.36,25,89.3,2021-07-30
Bradley County,AR,278.73,39.1,89.3,2021-07-30
Calhoun County,AR,327.62,23.4,89.3,2021-07-30
Carroll County,AR,412.26,30.1,89.3,2021-07-30
Chicot County,AR,217.43,38.4,89.3,2021-07-30
Clark County,AR,322.58,34.2,89.3,2021-07-30
Clay County,AR,240.53,32.5,89.3,2021-07-30
Cleburne County,AR,670.17,31.4,89.3,2021-07-30
Cleveland County,AR,477.63,34.4,89.3,2021-07-30
Columbia County,AR,272.84,30.4,89.3,2021-07-30
Conway County,AR,340.59,38.5,89.3,2021-07-30
Craighead County,AR,486.71,28.2,89.3,2021-07-30
Crawford County,AR,275.07,27.9,89.3,2021-07-30
